Sun Aug 15 08:49:49 UTC 2021
Hugo Static Site Generator v0.72.0-8A7EF3CF linux/amd64 BuildDate: 2020-05-31T12:07:45Z
Building sites … 
Template Metrics:

     cumulative       average       maximum         
       duration      duration      duration  count  template
     ----------      --------      --------  -----  --------
  9m46.661738364s  2.619025617s  42.689743313s    224  archm/single.html
  7m53.401952564s   96.376619ms  1.172992071s   4912  partials/image_thumbnail.html
  7m52.464140435s   19.813971ms  40.251105731s  23845  _default/image_list.html
  5m19.086367269s   18.743325ms  12.944613474s  17024  _default/single.html
  3m3.944899689s   13.091231ms  12.884412308s  14051  _default/single.content.html
  3m3.519760641s   13.240008ms  12.88430438s  13861  partials/block/photos.html
  2m57.205673185s  484.168505ms  1.084325118s    366  otd/single.html
  1m41.02633223s    5.934347ms  148.191775ms  17024  _default/single.boot.html
  1m35.757699775s    5.624864ms  148.009403ms  17024  partials/block/comments.html
  1m11.193222253s    1.159442ms  2.718395406s  61403  _default/list_item.html
  1m9.877686182s    4.012269ms  2.718363597s  17416  partials/summary.html
  1m2.506095786s   45.725015ms   2.71798407s   1367  post/summary.content.html
  41.211197471s  1.962437974s  34.803329248s     21  archy/single.html
   35.85710957s  149.404623ms  862.782417ms    240  shortcodes/img.html
  19.420606083s     967.884µs   41.511306ms  20065  partials/sidebar.html
  19.025278998s  200.266094ms  627.312017ms     95  shortcodes/photo.html
  18.809326736s     234.354µs   40.639846ms  80260  partials/block/menu.html
  13.636807382s     679.631µs  490.237945ms  20065  partials/head.html
  11.528971362s     574.581µs  490.134074ms  20065  partials/metas.html
   9.605105653s  137.215795ms  2.717900158s     70  partials/block/featured_image.html
   6.595911419s    2.845518ms   60.598497ms   2318  partials/block/paged-list.html
   5.847200021s     291.412µs   40.865286ms  20065  partials/foot.html
   5.666557278s      282.41µs   40.842913ms  20065  partials/footer.html
   4.529697364s     358.475µs  488.259714ms  12636  notes/summary.content.html
   4.193844048s    2.782909ms   42.831031ms   1507  tags/list.html
   3.921646968s     225.174µs   34.873141ms  17416  partials/block/meta.html
    3.46796154s   11.559871ms   62.821402ms    300  _default/section.html
   3.147680317s    1.313174ms   32.970211ms   2397  partials/pagination.html
